date,portfolio_value,daily_pnl,buy_amount,sell_amount,positions_value
20240717,995696.1062146997,0.0,0.0,0.0,0.0
20240718,995696.1062146997,0.0,0.0,0.0,0.0
20240719,995696.1062146997,0.0,0.0,0.0,0.0
20240722,995696.1062146997,0.0,0.0,0.0,0.0
20240723,995696.1062146997,0.0,0.0,0.0,0.0
20240724,995696.1062146997,0.0,0.0,0.0,0.0
20240725,995696.1062146997,0.0,0.0,0.0,0.0
20240726,995696.1062146997,-5.400216600042768,8218.0,0.0,8218.0
20240729,995736.7059980996,46.0,0.0,0.0,8264.0
20240730,995738.7059980996,2.0,0.0,0.0,8266.0
20240731,995984.7059980996,246.0,0.0,0.0,8512.0
20240801,995974.7059980996,-10.0,0.0,0.0,8502.0
20240802,995836.7059980996,-138.0,0.0,0.0,8364.0
20240805,995872.7059980996,36.0,0.0,0.0,8400.0
20240806,995652.7059980996,-220.0,0.0,0.0,8180.0
20240807,995612.7059980996,-40.0,0.0,0.0,8140.000000000001
20240808,995636.7059980996,18.605724800028838,8095.999999999999,0.0,16260.0
20240809,995553.3117228997,-78.0,0.0,0.0,16182.0
20240812,995561.3117228997,8.0,0.0,0.0,16190.0
20240813,995573.3117228997,12.0,0.0,0.0,16202.0
20240814,995493.3117228997,-80.0,0.0,0.0,16122.0
20240815,995739.3117228997,246.0,0.0,0.0,16368.0
20240816,995897.3117228997,158.0,0.0,0.0,16526.0
20240819,995933.3117228997,36.0,0.0,0.0,16562.0
20240820,995947.3117228997,14.0,0.0,0.0,16576.0
20240821,995931.3117228997,-16.0,0.0,0.0,16560.0
20240822,995965.3117228997,34.0,0.0,0.0,16594.0
20240823,996449.3117228997,484.0,0.0,0.0,17078.0
20240826,996455.3117228997,6.0,0.0,0.0,17084.0
20240827,996355.3117228997,-100.0,0.0,0.0,16984.0
20240828,995769.3117228997,-213.19999999995343,0.0,0.0,16398.0
20240829,996030.1117228997,-112.0,0.0,0.0,16286.0
20240830,996490.1117228997,460.0,0.0,0.0,16746.0
20240902,996444.1117228997,-46.0,0.0,0.0,16700.0
20240903,996512.1117228997,68.0,0.0,0.0,16768.0
20240904,996378.1117228997,-134.0,0.0,0.0,16634.0
20240905,996496.1117228997,118.0,0.0,0.0,16752.0
20240906,996386.1117228997,-110.0,0.0,0.0,16642.0
20240909,996060.1117228997,-326.0,0.0,0.0,16316.0
20240910,996076.1117228997,16.0,0.0,0.0,16332.0
20240911,996066.1117228997,-10.0,0.0,0.0,16322.0
20240912,995996.1117228997,-70.0,0.0,0.0,16252.0
20240913,996170.1117228997,174.0,0.0,0.0,16426.0
20240918,996588.1117228997,418.0,0.0,0.0,16844.0
20240919,996680.1117228997,92.0,0.0,0.0,16936.0
20240920,996788.1117228997,108.0,0.0,0.0,17044.0
20240923,996848.1117228997,60.0,0.0,0.0,17104.0
20240924,997340.1117228997,492.0,0.0,0.0,17596.0
20240925,997712.1117228997,372.0,0.0,0.0,17968.0
20240926,998704.1117228997,992.0,0.0,0.0,18960.0
20240927,999004.1117228997,300.0,0.0,0.0,19260.0
20240930,1000750.1117228997,1746.0,0.0,0.0,21006.0
20241008,1002390.1117228997,1622.0527498000301,0.0,12346.0,10300.0
20241009,1001658.1644726997,-714.0,0.0,0.0,9586.0
20241010,1002002.1644726997,344.0,0.0,0.0,9930.0
20241011,1001790.1644726997,-212.0,0.0,0.0,9718.0
20241014,1002040.1644726997,250.0,0.0,0.0,9968.0
20241015,1001786.1644726997,-254.0,0.0,0.0,9714.0
20241016,1001566.1644726997,-220.0,0.0,0.0,9494.0
20241017,1001394.1644726997,-172.0,0.0,0.0,9322.0
20241018,1001532.1644726997,138.0,0.0,0.0,9460.0
20241021,1001472.1644726997,-60.0,0.0,0.0,9400.0
20241022,1001628.1644726997,156.0,0.0,0.0,9556.0
20241023,1001658.1644726997,30.0,0.0,0.0,9586.0
20241024,1001548.1644726997,-110.0,0.0,0.0,9476.0
20241025,1001470.1644726997,-78.0,0.0,0.0,9398.0
20241028,1001424.1644726997,-46.0,0.0,0.0,9352.0
20241029,1001390.1644726997,-34.0,0.0,0.0,9318.0
20241030,1001228.1644726997,-162.0,0.0,0.0,9156.0
20241031,1000772.1644726997,-456.0,0.0,0.0,8700.0
20241101,1000776.1644726997,4.0,0.0,0.0,8704.0
20241104,1000732.1644726997,-44.0,0.0,0.0,8660.0
20241105,1000852.1644726997,120.0,0.0,0.0,8780.0
20241106,1000640.1644726997,-212.0,0.0,0.0,8568.0
20241107,1000924.1644726997,284.0,0.0,0.0,8852.0
20241108,1000922.1644726997,-2.0,0.0,0.0,8850.0
20241111,1000822.1644726997,-100.0,0.0,0.0,8750.0
20241112,1000812.1644726997,-10.0,0.0,0.0,8740.0
20241113,1000856.1644726997,44.0,0.0,0.0,8784.0
20241114,1000816.1644726997,-40.0,0.0,0.0,8744.0
20241115,1000696.1644726997,-120.0,0.0,0.0,8624.0
20241118,1000646.1644726997,-50.0,0.0,0.0,8574.0
20241119,1000658.1644726997,12.0,0.0,0.0,8586.0
20241120,1000618.1644726997,-40.0,0.0,0.0,8546.0
20241121,1000534.1644726997,-84.0,0.0,0.0,8462.0
20241122,1000332.1644726997,-202.0,0.0,0.0,8260.0
20241125,1000266.1644726997,-66.0,0.0,0.0,8194.0
20241126,1000308.1644726997,42.0,0.0,0.0,8236.0
20241127,1000490.1644726997,182.0,0.0,0.0,8418.0
20241128,1000392.1644726997,-98.0,0.0,0.0,8320.0
20241129,1000488.1644726997,96.0,0.0,0.0,8416.0
20241202,1000480.1644726997,-8.0,0.0,0.0,8408.0
20241203,1000542.1644726997,62.0,0.0,0.0,8470.0
20241204,1000598.1644726997,56.0,0.0,0.0,8526.0
20241205,1000536.1644726997,-62.0,0.0,0.0,8464.0
20241206,1000526.1644726997,-10.0,0.0,0.0,8454.0
20241209,1000542.1644726997,16.0,0.0,0.0,8470.0
20241210,1000668.1644726997,126.0,0.0,0.0,8596.0
20241211,1000734.1644726997,66.0,0.0,0.0,8662.0
20241212,1000764.1644726997,30.0,0.0,0.0,8692.0
20241213,1000672.1644726997,-92.0,0.0,0.0,8600.0
20241216,1000648.1644726997,-24.0,0.0,0.0,8576.0
20241217,1000672.1644726997,24.0,0.0,0.0,8600.0
20241218,1000762.1644726997,90.0,0.0,0.0,8690.0
20241219,1000802.1644726997,40.0,0.0,0.0,8730.0
20241220,1000724.1644726997,-78.0,0.0,0.0,8652.0
20241223,1000970.1644726997,246.0,0.0,0.0,8898.0
20241224,1001188.1644726997,218.0,0.0,0.0,9116.0
20241225,1001160.1644726997,-28.0,0.0,0.0,9088.0
20241226,1001160.1644726997,0.0,0.0,0.0,9088.0
20241227,1001084.1644726997,-76.0,0.0,0.0,9012.0
20241230,1001186.1644726997,102.0,0.0,0.0,9114.0
20241231,1001162.1644726997,-24.0,0.0,0.0,9090.0
20250102,1001340.1644726997,178.0,0.0,0.0,9268.0
20250103,1001220.1644726997,-120.0,0.0,0.0,9148.0
20250106,1001276.1644726997,56.0,0.0,0.0,9204.0
20250107,1001202.1644726997,-74.0,0.0,0.0,9130.0
20250108,1001520.1644726997,318.0,0.0,0.0,9448.0
20250109,1001572.1644726997,52.0,0.0,0.0,9500.0
20250110,1001352.1644726997,-220.0,0.0,0.0,9280.0
20250113,1001052.1644726997,-300.0,0.0,0.0,8980.0
20250114,1001200.1644726997,148.0,0.0,0.0,9128.0
20250115,1001290.1644726997,90.0,0.0,0.0,9218.0
20250116,1001332.1644726997,42.0,0.0,0.0,9260.0
20250117,1001272.1644726997,-60.0,0.0,0.0,9200.0
20250120,1001088.1644726997,-184.0,0.0,0.0,9016.0
20250121,1001024.1644726997,-64.0,0.0,0.0,8952.0
20250122,1000884.1644726997,-140.0,0.0,0.0,8812.0
20250123,1000926.1644726997,42.0,0.0,0.0,8854.0
20250124,1000964.1644726997,38.0,0.0,0.0,8892.0
20250127,1001050.1644726997,86.0,0.0,0.0,8978.0
20250205,1000838.1644726997,-212.0,0.0,0.0,8766.0
20250206,1000800.1644726997,-38.0,0.0,0.0,8728.0
20250207,1000896.1644726997,96.0,0.0,0.0,8824.0
20250210,1000848.1644726997,-48.0,0.0,0.0,8776.0
20250211,1000804.1644726997,-44.0,0.0,0.0,8732.0
20250212,1000824.1644726997,20.0,0.0,0.0,8752.0
20250213,1000836.1644726997,12.0,0.0,0.0,8764.0
20250214,1000870.1644726997,34.0,0.0,0.0,8798.0
20250217,1000806.1644726997,-64.0,0.0,0.0,8734.0
20250218,1000678.1644726997,-128.0,0.0,0.0,8606.0
20250219,1000460.1644726997,-218.0,0.0,0.0,8388.0
20250220,1000442.1644726997,-18.0,0.0,0.0,8370.0
20250221,1000344.1644726997,-98.0,0.0,0.0,8272.0
20250224,1000326.1644726997,-18.0,0.0,0.0,8254.0
20250225,1000172.1644726997,-154.0,0.0,0.0,8100.0
20250226,1000256.1644726997,84.0,0.0,0.0,8184.0
20250227,1000358.1644726997,102.0,0.0,0.0,8286.0
20250228,1000242.1644726997,-116.0,0.0,0.0,8170.0
20250303,1000184.1644726997,-58.0,0.0,0.0,8112.0
20250304,1000410.1644726997,226.0,0.0,0.0,8338.0
20250305,1000484.1644726997,74.0,0.0,0.0,8412.0
20250306,1000494.1644726997,10.0,0.0,0.0,8422.0
20250307,1000444.1644726997,-50.0,0.0,0.0,8372.0
20250310,1000522.1644726997,78.0,0.0,0.0,8450.0
