date,stock_code,name,amount,market_value,cost_basis
20220928,600036.SS,招商银行,500,16835.0,35.65
20220929,000651.SZ,格力电器,300,9765.0,32.09
20220929,601318.SS,中国平安,400,16528.0,43.87
20220929,600036.SS,招商银行,500,16575.0,35.65
20220930,000651.SZ,格力电器,300,9729.0,32.09
20220930,601318.SS,中国平安,400,16632.0,43.87
20220930,600036.SS,招商银行,500,16825.0,35.65
20221010,000651.SZ,格力电器,300,9660.0,32.09
20221010,601318.SS,中国平安,400,16572.0,43.87
20221010,600036.SS,招商银行,500,15900.0,35.65
20221011,000651.SZ,格力电器,300,9582.0,32.09
20221011,601318.SS,中国平安,400,16480.0,43.87
20221012,000651.SZ,格力电器,300,9684.0,32.09
20221012,601318.SS,中国平安,400,16768.0,43.87
20221013,000651.SZ,格力电器,300,9507.0,32.09
20221013,601318.SS,中国平安,400,16544.0,43.87
20221014,000651.SZ,格力电器,300,9717.0,32.09
20221014,601318.SS,中国平安,400,16776.0,43.87
20221017,000651.SZ,格力电器,300,9681.0,32.09
20221017,601318.SS,中国平安,400,16840.0,43.87
20221018,000651.SZ,格力电器,300,9702.0,32.09
20221018,601318.SS,中国平安,400,16700.0,43.87
20221019,000651.SZ,格力电器,300,9339.0,32.09
20221019,601318.SS,中国平安,400,16508.0,43.87
20221020,000651.SZ,格力电器,300,9198.0,32.09
20221020,601318.SS,中国平安,400,16004.0,43.87
20221021,000651.SZ,格力电器,300,9180.0,32.09
20221021,601318.SS,中国平安,400,15860.0,43.87
20221024,000651.SZ,格力电器,300,8994.0,32.09
20221024,601318.SS,中国平安,400,15080.0,43.87
