日期,时间,合约代码,最新价,仓位,多/空,持仓成本价,市值,累计盈亏
2022-09-01,15:30:00,000651.SZ,32.850,300,多,29.767,9855.000,925.020
2022-09-01,15:30:00,601318.SS,43.650,400,多,43.273,17460.000,150.760
2022-09-01,15:30:00,600036.SS,34.500,500,多,35.163,17250.000,-331.350
2022-09-02,15:30:00,000651.SZ,33.020,300,多,29.767,9906.000,976.020
2022-09-02,15:30:00,601318.SS,43.700,400,多,43.273,17480.000,170.760
2022-09-02,15:30:00,600036.SS,34.320,500,多,35.163,17160.000,-421.350
2022-09-05,15:30:00,000651.SZ,33.360,300,多,29.767,10008.000,1078.020
2022-09-05,15:30:00,601318.SS,43.800,400,多,43.273,17520.000,210.760
2022-09-05,15:30:00,600036.SS,34.230,500,多,35.163,17115.000,-466.350
2022-09-06,15:30:00,000651.SZ,33.160,300,多,29.767,9948.000,1018.020
2022-09-06,15:30:00,601318.SS,43.900,400,多,43.273,17560.000,250.760
2022-09-06,15:30:00,600036.SS,33.620,500,多,35.163,16810.000,-771.350
2022-09-07,15:30:00,000651.SZ,32.970,300,多,29.767,9891.000,961.020
2022-09-07,15:30:00,601318.SS,43.600,400,多,43.273,17440.000,130.760
2022-09-07,15:30:00,600036.SS,33.380,500,多,35.163,16690.000,-891.350
2022-09-08,15:30:00,000651.SZ,33.180,300,多,29.767,9954.000,1024.020
2022-09-08,15:30:00,601318.SS,43.840,400,多,43.273,17536.000,226.760
2022-09-08,15:30:00,600036.SS,33.300,500,多,35.163,16650.000,-931.350
2022-09-09,15:30:00,000651.SZ,34.670,300,多,29.767,10401.000,1471.020
2022-09-09,15:30:00,601318.SS,44.690,400,多,43.273,17876.000,566.760
2022-09-09,15:30:00,600036.SS,34.500,500,多,35.163,17250.000,-331.350
2022-09-13,15:30:00,000651.SZ,35.150,300,多,29.767,10545.000,1615.020
2022-09-13,15:30:00,601318.SS,45.060,400,多,43.273,18024.000,714.760
2022-09-13,15:30:00,600036.SS,35.350,500,多,35.163,17675.000,93.650
2022-09-14,15:30:00,000651.SZ,34.920,300,多,29.767,10476.000,1546.020
2022-09-14,15:30:00,601318.SS,44.650,400,多,43.273,17860.000,550.760
2022-09-14,15:30:00,600036.SS,34.860,500,多,35.163,17430.000,-151.350
2022-09-15,15:30:00,000651.SZ,35.100,300,多,29.767,10530.000,1600.020
