event_id,event_datetime,security,type,direction,window,matured_datetime,base_close,end_close,directional_return,mfe,mae
600519SS_2025-05-16T000000_SELL_COUNTDOWN_CANCEL_-1_2025-03-18T000000_10,2025-05-16 00:00:00,600519.SS,SELL_COUNTDOWN_CANCEL,-1,60,2025-08-11 00:00:00,1562.57,1421.04,0.09057514,0.13628189,0.00904279
000858SZ_2025-07-15T000000_SELL_SETUP_PERFECT_-1_2025-07-15T000000_9,2025-07-15 00:00:00,000858.SZ,SELL_SETUP_PERFECT,-1,20,2025-08-12 00:00:00,119.25,120.61,-0.01140461,0.01207547,-0.04234801
000858SZ_2025-07-15T000000_BUY_COUNTDOWN_CANCEL_1_2025-05-28T000000_10,2025-07-15 00:00:00,000858.SZ,BUY_COUNTDOWN_CANCEL,1,20,2025-08-12 00:00:00,119.25,120.61,0.01140461,0.04234801,-0.01207547
601318SS_2025-07-15T000000_SELL_SETUP_-1_2025-07-15T000000_9,2025-07-15 00:00:00,601318.SS,SELL_SETUP,-1,20,2025-08-12 00:00:00,56.15,57.8,-0.02938557,0.01780944,-0.07533393
601318SS_2025-02-19T000000_SELL_SETUP_-1_2025-02-19T000000_9,2025-02-19 00:00:00,601318.SS,SELL_SETUP,-1,120,2025-08-13 00:00:00,48.9,57.66,-0.1791411,0.09100204,-0.23476483
601318SS_2025-02-19T000000_BUY_COUNTDOWN_CANCEL_1_2025-01-13T000000_4,2025-02-19 00:00:00,601318.SS,BUY_COUNTDOWN_CANCEL,1,120,2025-08-13 00:00:00,48.9,57.66,0.1791411,0.23476483,-0.09100204
000858SZ_2025-05-23T000000_BUY_COUNTDOWN_COMPLETE_PERFECT_1_2025-04-01T000000_13,2025-05-23 00:00:00,000858.SZ,BUY_COUNTDOWN_COMPLETE_PERFECT,1,60,2025-08-18 00:00:00,122.4,121.17,-0.01004902,0.01552288,-0.09109477
600519SS_2025-05-27T000000_SELL_COUNTDOWN_CANCEL_-1_2025-05-16T000000_0,2025-05-27 00:00:00,600519.SS,SELL_COUNTDOWN_CANCEL,-1,60,2025-08-20 00:00:00,1492.34,1426.04,0.04442687,0.09563504,-0.00743798
000858SZ_2025-05-28T000000_BUY_SETUP_PERFECT_1_2025-05-28T000000_9,2025-05-28 00:00:00,000858.SZ,BUY_SETUP_PERFECT,1,60,2025-08-21 00:00:00,121.17,122.87,0.01402988,0.02583148,-0.08186845
000858SZ_2025-08-20T000000_SELL_COUNTDOWN_COMPLETE_PERFECT_-1_2025-07-15T000000_13,2025-08-20 00:00:00,000858.SZ,SELL_COUNTDOWN_COMPLETE_PERFECT,-1,5,2025-08-27 00:00:00,123.2,124.04,-0.00681818,0.00746753,-0.04926948
600036SS_2025-08-20T000000_BUY_SETUP_1_2025-08-20T000000_9,2025-08-20 00:00:00,600036.SS,BUY_SETUP,1,5,2025-08-27 00:00:00,42.44,41.99,-0.0106032,0.01343073,-0.0106032
600036SS_2025-08-20T000000_SELL_COUNTDOWN_CANCEL_-1_2025-06-26T000000_8,2025-08-20 00:00:00,600036.SS,SELL_COUNTDOWN_CANCEL,-1,5,2025-08-27 00:00:00,42.44,41.99,0.0106032,0.0106032,-0.01343073
000651SZ_2025-08-25T000000_SELL_COUNTDOWN_COMPLETE_PERFECT_-1_2025-07-04T000000_13,2025-08-25 00:00:00,000651.SZ,SELL_COUNTDOWN_COMPLETE_PERFECT,-1,5,2025-09-01 00:00:00,45.11,40.41,0.10418976,0.10551984,-0.00554201
600519SS_2025-03-11T000000_BUY_COUNTDOWN_CANCEL_1_2025-01-10T000000_11,2025-03-11 00:00:00,600519.SS,BUY_COUNTDOWN_CANCEL,1,120,2025-09-02 00:00:00,1497.12,1467.34,-0.01989153,0.07301352,-0.0985225
601318SS_2025-08-26T000000_SELL_COUNTDOWN_COMPLETE_PERFECT_-1_2025-07-15T000000_13,2025-08-26 00:00:00,601318.SS,SELL_COUNTDOWN_COMPLETE_PERFECT,-1,5,2025-09-02 00:00:00,59.57,57.71,0.03122377,0.03861004,-0.00973644
600036SS_2025-03-11T000000_SELL_SETUP_-1_2025-03-11T000000_9,2025-03-11 00:00:00,600036.SS,SELL_SETUP,-1,120,2025-09-02 00:00:00,40.5,42.43,-0.04765432,0.1017284,-0.12444444
601318SS_2025-06-11T000000_SELL_COUNTDOWN_COMPLETE_-1_2025-04-23T000000_13,2025-06-11 00:00:00,601318.SS,SELL_COUNTDOWN_COMPLETE,-1,60,2025-09-03 00:00:00,51.91,56.83,-0.09477943,0.02581391,-0.16316702
